@relation coletas

@attribute lotacao numeric
@attribute total_segundos numeric
@attribute temp_aparente numeric
@attribute precipitacao numeric
@attribute class {vazio,normal,lotado,superlotado}

@data
12,39148,29.46,0,vazio
13,39149,29.46,0,vazio
13,39150,29.46,0,vazio
11,39151,29.46,0,vazio
11,39152,29.46,0,vazio
10,39153,29.46,0,vazio
7,39154,29.46,0,vazio
7,39155,29.46,0,vazio
7,39156,29.46,0,vazio
7,39157,29.47,0,vazio
6,39158,29.47,0,vazio
5,39159,29.47,0,vazio
5,39160,29.47,0,vazio
5,39161,29.47,0,vazio
4,39162,29.47,0,vazio
4,39163,29.47,0,vazio
4,39164,29.47,0,vazio
4,39165,29.47,0,vazio
5,39166,29.47,0,vazio
5,39167,29.47,0,vazio
6,39168,29.47,0,vazio
6,39169,29.47,0,vazio
6,39170,29.47,0,vazio
6,39171,29.47,0,vazio
6,39172,29.47,0,vazio
6,39173,29.47,0,vazio
6,39174,29.47,0,vazio
6,39175,29.47,0,vazio
5,39176,29.47,0,vazio
5,39177,29.47,0,vazio
4,39178,29.47,0,vazio
5,39179,29.47,0,vazio
5,39180,29.47,0,vazio
5,39181,29.47,0,vazio
9,39182,29.47,0,vazio
9,39183,29.47,0,vazio
9,39184,29.47,0,vazio
9,39185,29.47,0,vazio
9,39186,29.47,0,vazio
9,39187,29.47,0,vazio
9,39188,29.47,0,vazio
9,39189,29.47,0,vazio
10,39190,29.47,0,vazio
10,39191,29.47,0,vazio
7,39192,29.47,0,vazio
7,39193,29.47,0,vazio
7,39194,29.47,0,vazio
6,39195,29.47,0,vazio
7,39196,29.47,0,vazio
10,39197,29.47,0,vazio
10,39198,29.47,0,vazio
10,39199,29.47,0,vazio
9,39200,29.47,0,vazio
9,39201,29.47,0,vazio
9,39202,29.47,0,vazio
9,39203,29.47,0,vazio
9,39204,29.47,0,vazio
9,39205,29.47,0,vazio
7,39206,29.47,0,vazio
4,39207,29.47,0,vazio
4,39208,29.47,0,vazio
4,39209,29.47,0,vazio
4,39210,29.47,0,vazio
4,39211,29.47,0,vazio
4,39212,29.47,0,vazio
4,39213,29.47,0,vazio
4,39214,29.47,0,vazio
4,39215,29.47,0,vazio
4,39216,29.47,0,vazio
4,39217,29.47,0,vazio
4,39218,29.47,0,vazio
4,39219,29.47,0,vazio
4,39220,29.47,0,vazio
4,39221,29.47,0,vazio
4,39222,29.47,0,vazio
4,39223,29.47,0,vazio
4,39224,29.47,0,vazio
4,39225,29.47,0,vazio
4,39226,29.47,0,vazio
4,39227,29.47,0,vazio
4,39228,29.47,0,vazio
4,39229,29.47,0,vazio
4,39230,29.47,0,vazio
4,39231,29.47,0,vazio
4,39232,29.47,0,vazio
4,39233,29.47,0,vazio
4,39234,29.47,0,vazio
4,39235,29.47,0,vazio
4,39236,29.47,0,vazio
4,39237,29.47,0,vazio
4,39238,29.47,0,vazio
5,39239,29.47,0,vazio
5,39240,29.47,0,vazio
5,39241,29.47,0,vazio
5,39242,29.47,0,vazio
5,39243,29.47,0,vazio
5,39244,29.47,0,vazio
9,39245,29.47,0,vazio
9,39246,29.47,0,vazio
9,39247,29.47,0,vazio
9,39248,29.47,0,vazio
9,39249,29.47,0,vazio
9,39250,29.47,0,vazio
9,39251,29.47,0,vazio
9,39252,29.47,0,vazio
10,39253,29.47,0,vazio
10,39254,29.47,0,vazio
6,39255,29.47,0,vazio
6,39256,29.47,0,vazio
6,39257,29.47,0,vazio
6,39258,29.47,0,vazio
9,39259,29.47,0,vazio
9,39260,29.47,0,vazio
9,39261,29.47,0,vazio
9,39262,29.47,0,vazio
9,39263,29.47,0,vazio
9,39264,29.47,0,vazio
9,39265,29.47,0,vazio
10,39266,29.47,0,vazio
10,39267,29.47,0,vazio
10,39268,29.47,0,vazio
7,39269,29.47,0,vazio
7,39270,29.47,0,vazio
7,39271,29.47,0,vazio
7,39272,29.47,0,vazio
7,39273,29.47,0,vazio
7,39274,29.47,0,vazio
7,39275,29.47,0,vazio
7,39276,29.47,0,vazio
7,39277,29.48,0,vazio
7,39278,29.48,0,vazio
7,39279,29.48,0,vazio
7,39280,29.48,0,vazio
7,39281,29.48,0,vazio
7,39282,29.48,0,vazio
7,39283,29.48,0,vazio
8,39284,29.48,0,vazio
8,39285,29.48,0,vazio
10,39286,29.48,0,vazio
10,39287,29.48,0,vazio
10,39288,29.48,0,vazio
10,39289,29.48,0,vazio
10,39290,29.48,0,vazio
10,39291,29.48,0,vazio
10,39292,29.48,0,vazio
10,39293,29.48,0,vazio
9,39294,29.48,0,vazio
9,39295,29.48,0,vazio
9,39296,29.48,0,vazio
9,39297,29.48,0,vazio
9,39298,29.48,0,vazio
9,39299,29.48,0,vazio
9,39300,29.48,0,vazio
9,39301,29.48,0,vazio
9,39302,29.48,0,vazio
9,39303,29.48,0,vazio
9,39304,29.48,0,vazio
9,39305,29.48,0,vazio
9,39306,29.48,0,vazio
9,39307,29.48,0,vazio
9,39308,29.48,0,vazio
9,39309,29.48,0,vazio
10,39310,29.48,0,vazio
10,39311,29.48,0,vazio
10,39312,29.48,0,vazio
10,39313,29.48,0,vazio
10,39314,29.48,0,vazio
10,39315,29.48,0,vazio
10,39316,29.48,0,vazio
10,39317,29.48,0,vazio
10,39318,29.48,0,vazio
10,39319,29.48,0,vazio
10,39320,29.48,0,vazio
10,39321,29.48,0,vazio
10,39322,29.48,0,vazio
10,39323,29.48,0,vazio
10,39324,29.48,0,vazio
10,39325,29.48,0,vazio
10,39326,29.48,0,vazio
10,39327,29.48,0,vazio
10,39328,29.48,0,vazio
10,39329,29.48,0,vazio
10,39330,29.48,0,vazio
10,39331,29.48,0,vazio
10,39332,29.48,0,vazio
10,39333,29.48,0,vazio
10,39334,29.48,0,vazio
10,39335,29.48,0,vazio
11,39336,29.48,0,vazio
11,39337,29.49,0,vazio
11,39338,29.49,0,vazio
11,39339,29.49,0,vazio
11,39340,29.49,0,vazio
14,39341,29.49,0,vazio
14,39342,29.49,0,vazio
15,39343,29.49,0,vazio
15,39344,29.49,0,vazio
15,39345,29.49,0,vazio
15,39346,29.49,0,vazio
15,39347,29.49,0,vazio
15,39348,29.49,0,vazio
15,39349,29.49,0,vazio
15,39350,29.49,0,vazio
12,39351,29.49,0,vazio
12,39352,29.49,0,vazio
12,39353,29.49,0,vazio
12,39354,29.49,0,vazio
12,39355,29.49,0,vazio
11,39356,29.49,0,vazio
12,39357,29.49,0,vazio
12,39358,29.49,0,vazio
12,39359,29.49,0,vazio
12,39360,29.49,0,vazio
12,39361,29.49,0,vazio
12,39362,29.49,0,vazio
11,39363,29.49,0,vazio
11,39364,29.49,0,vazio
12,39365,29.49,0,vazio
12,39366,29.49,0,vazio
13,39367,29.49,0,vazio
13,39368,29.49,0,vazio
13,39369,29.49,0,vazio
13,39370,29.49,0,vazio
13,39371,29.49,0,vazio
14,39372,29.49,0,vazio
15,39373,29.49,0,vazio
15,39374,29.49,0,vazio
14,39375,29.49,0,vazio
14,39376,29.49,0,vazio
13,39377,29.49,0,vazio
14,39378,29.49,0,vazio
14,39379,29.49,0,vazio
14,39380,29.49,0,vazio
14,39381,29.49,0,vazio
14,39382,29.49,0,vazio
15,39383,29.49,0,vazio
15,39384,29.49,0,vazio
15,39385,29.49,0,vazio
15,39386,29.49,0,vazio
15,39387,29.49,0,vazio
12,39388,29.49,0,vazio
12,39389,29.49,0,vazio
12,39390,29.49,0,vazio
13,39391,29.49,0,vazio
13,39392,29.49,0,vazio
12,39393,29.49,0,vazio
11,39394,29.49,0,vazio
11,39395,29.49,0,vazio
11,39396,29.49,0,vazio
10,39397,29.49,0,vazio
11,39398,29.49,0,vazio
11,39399,29.49,0,vazio
11,39400,29.49,0,vazio
11,39401,29.49,0,vazio
11,39402,29.49,0,vazio
11,39403,29.49,0,vazio
12,39404,29.49,0,vazio
12,39405,29.49,0,vazio
12,39406,29.49,0,vazio
12,39407,29.49,0,vazio
11,39408,29.49,0,vazio
11,39409,29.49,0,vazio
11,39410,29.49,0,vazio
11,39411,29.49,0,vazio
11,39412,29.49,0,vazio
12,39413,29.49,0,vazio
11,39414,29.49,0,vazio
12,39415,29.49,0,vazio
12,39416,29.49,0,vazio
12,39417,29.49,0,vazio
13,39418,29.49,0,vazio
13,39419,29.49,0,vazio
14,39420,29.49,0,vazio
14,39421,29.49,0,vazio
14,39422,29.49,0,vazio
14,39423,29.49,0,vazio
14,39424,29.49,0,vazio
13,39425,29.49,0,vazio
13,39426,29.49,0,vazio
