segundo,calculo,timestamp
755,3,1529403495
756,3,1529403496
757,3,1529403497
758,3,1529403498
759,3,1529403499
760,3,1529403500
761,3,1529403501
762,3,1529403502
763,3,1529403503
764,3,1529403504
765,3,1529403505
766,3,1529403506
767,3,1529403507
768,3,1529403508
769,3,1529403509
770,3,1529403510
771,3,1529403511
772,3,1529403512
773,3,1529403513
774,3,1529403514
775,3,1529403515
776,3,1529403516
777,3,1529403517
778,3,1529403518
779,3,1529403519
780,3,1529403520
781,3,1529403521
782,3,1529403522
783,3,1529403523
784,3,1529403524
785,3,1529403525
786,3,1529403526
787,3,1529403527
788,3,1529403528
789,3,1529403529
790,3,1529403530
791,3,1529403531
792,3,1529403532
793,3,1529403533
794,3,1529403534
795,3,1529403535
796,3,1529403536
797,3,1529403537
798,3,1529403538
799,3,1529403539
800,3,1529403540
801,3,1529403541
802,3,1529403542
803,3,1529403543
804,3,1529403544
805,3,1529403545
806,3,1529403546
807,3,1529403547
808,3,1529403548
809,3,1529403549
810,3,1529403550
811,3,1529403551
812,3,1529403552
813,3,1529403553
814,3,1529403554
815,3,1529403555
816,3,1529403556
817,3,1529403557
818,3,1529403558
819,3,1529403559
820,3,1529403560
821,3,1529403561
822,3,1529403562
823,3,1529403563
824,3,1529403564
825,3,1529403565
826,3,1529403566
827,3,1529403567
828,3,1529403568
829,3,1529403569
830,3,1529403570
831,3,1529403571
832,3,1529403572
833,3,1529403573
834,3,1529403574
835,3,1529403575
836,3,1529403576
837,3,1529403577
838,3,1529403578
839,3,1529403579
840,3,1529403580
841,3,1529403581
842,3,1529403582
843,3,1529403583
844,3,1529403584
845,3,1529403585
846,3,1529403586
847,3,1529403587
848,3,1529403588
849,3,1529403589
850,3,1529403590
851,3,1529403591
852,3,1529403592
853,3,1529403593
854,3,1529403594
855,3,1529403595
856,3,1529403596
857,3,1529403597
858,4,1529403598
859,6,1529403599
860,6,1529403600
861,6,1529403601
862,6,1529403602
863,6,1529403603
864,6,1529403604
865,6,1529403605
866,6,1529403606
867,6,1529403607
868,5,1529403608
869,3,1529403609
870,3,1529403610
871,3,1529403611
872,4,1529403612
873,4,1529403613
874,4,1529403614
875,4,1529403615
876,4,1529403616
877,5,1529403617
878,5,1529403618
879,6,1529403619
880,9,1529403620
881,10,1529403621
882,9,1529403622
883,10,1529403623
884,10,1529403624
885,10,1529403625
886,10,1529403626
887,9,1529403627
888,9,1529403628
889,9,1529403629
890,6,1529403630
891,6,1529403631
892,6,1529403632
893,5,1529403633
894,5,1529403634
895,5,1529403635
896,5,1529403636
897,5,1529403637
898,5,1529403638
899,5,1529403639
900,5,1529403640
901,4,1529403641
902,4,1529403642
903,4,1529403643
904,4,1529403644
905,4,1529403645
906,4,1529403646
907,5,1529403647
908,6,1529403648
909,6,1529403649
910,5,1529403650
911,5,1529403651
912,5,1529403652
913,5,1529403653
914,5,1529403654
915,6,1529403655
916,6,1529403656
917,5,1529403657
918,4,1529403658
919,4,1529403659
920,4,1529403660
921,5,1529403661
922,5,1529403662
923,6,1529403663
924,6,1529403664
925,6,1529403665
926,6,1529403666
927,7,1529403667
928,8,1529403668
929,8,1529403669
930,9,1529403670
931,8,1529403671
932,8,1529403672
933,7,1529403673
934,7,1529403674
935,7,1529403675
936,8,1529403676
937,8,1529403677
938,8,1529403678
939,8,1529403679
940,7,1529403680
941,7,1529403681
942,7,1529403682
943,7,1529403683
944,7,1529403684
945,6,1529403685
946,5,1529403686
947,5,1529403687
948,5,1529403688
949,5,1529403689
950,5,1529403690
951,5,1529403691
952,5,1529403692
953,6,1529403693
954,6,1529403694
955,6,1529403695
956,6,1529403696
957,6,1529403697
958,6,1529403698
959,5,1529403699
960,5,1529403700
961,5,1529403701
962,5,1529403702
963,4,1529403703
964,4,1529403704
965,4,1529403705
966,3,1529403706
967,3,1529403707
968,3,1529403708
969,3,1529403709
970,3,1529403710
971,3,1529403711
972,3,1529403712
973,3,1529403713
974,3,1529403714
975,3,1529403715
976,3,1529403716
977,3,1529403717
978,3,1529403718
979,3,1529403719
980,3,1529403720
981,3,1529403721
982,3,1529403722
983,3,1529403723
984,3,1529403724
985,3,1529403725
986,3,1529403726
987,3,1529403727
988,3,1529403728
989,3,1529403729
990,3,1529403730
991,3,1529403731
992,3,1529403732
993,3,1529403733
994,3,1529403734
995,3,1529403735
996,3,1529403736
997,3,1529403737
998,3,1529403738
999,4,1529403739
1000,4,1529403740
1001,4,1529403741
1002,4,1529403742
1003,4,1529403743
1004,4,1529403744
1005,4,1529403745
1006,4,1529403746
1007,4,1529403747
1008,4,1529403748
1009,3,1529403749
1010,3,1529403750
1011,3,1529403751
1012,3,1529403752
1013,3,1529403753
1014,3,1529403754
1015,4,1529403755
1016,4,1529403756
1017,4,1529403757
1018,4,1529403758
1019,4,1529403759
1020,5,1529403760
1021,5,1529403761
1022,5,1529403762
1023,5,1529403763
1024,5,1529403764
1025,5,1529403765
1026,5,1529403766
1027,6,1529403767
1028,7,1529403768
1029,6,1529403769
1030,6,1529403770
1031,6,1529403771
1032,6,1529403772
1033,8,1529403773
1034,9,1529403774
1035,9,1529403775
1036,9,1529403776
1037,9,1529403777
1038,8,1529403778
1039,8,1529403779
1040,8,1529403780
1041,8,1529403781
1042,8,1529403782
1043,6,1529403783
1044,5,1529403784
1045,5,1529403785
1046,5,1529403786
1047,4,1529403787
1048,5,1529403788
1049,5,1529403789
1050,5,1529403790
1051,5,1529403791
1052,5,1529403792
1053,5,1529403793
1054,5,1529403794
1055,5,1529403795
1056,5,1529403796
1057,5,1529403797
1058,4,1529403798
1059,4,1529403799
1060,4,1529403800
1061,4,1529403801
1062,4,1529403802
1063,5,1529403803
1064,5,1529403804
1065,5,1529403805
1066,5,1529403806
1067,5,1529403807
1068,6,1529403808
1069,6,1529403809
1070,6,1529403810
