segundo,calculo,timestamp,hora_minuto
403,15,1516186100,10:48
404,15,1516186101,10:48
405,15,1516186102,10:48
406,11,1516186103,10:48
407,11,1516186104,10:48
408,10,1516186105,10:48
409,10,1516186106,10:48
410,13,1516186107,10:48
411,13,1516186108,10:48
412,13,1516186109,10:48
413,13,1516186110,10:48
414,13,1516186111,10:48
415,13,1516186112,10:48
416,13,1516186113,10:48
417,13,1516186114,10:48
418,13,1516186115,10:48
419,13,1516186116,10:48
420,13,1516186117,10:48
421,14,1516186118,10:48
422,15,1516186119,10:48
423,15,1516186120,10:48
424,15,1516186121,10:48
425,16,1516186122,10:48
426,21,1516186123,10:48
427,21,1516186124,10:48
428,21,1516186125,10:48
429,22,1516186126,10:48
430,21,1516186127,10:48
431,21,1516186128,10:48
432,20,1516186129,10:48
433,20,1516186130,10:48
434,20,1516186131,10:48
435,20,1516186132,10:48
436,16,1516186133,10:48
437,17,1516186134,10:48
438,17,1516186135,10:48
439,16,1516186136,10:48
440,16,1516186137,10:48
441,16,1516186138,10:48
442,16,1516186139,10:48
443,14,1516186140,10:49
444,12,1516186141,10:49
445,11,1516186142,10:49
446,12,1516186143,10:49
447,12,1516186144,10:49
448,12,1516186145,10:49
449,13,1516186146,10:49
450,12,1516186147,10:49
451,11,1516186148,10:49
452,11,1516186149,10:49
453,12,1516186150,10:49
454,13,1516186151,10:49
455,13,1516186152,10:49
456,14,1516186153,10:49
457,15,1516186154,10:49
458,17,1516186155,10:49
459,16,1516186156,10:49
460,16,1516186157,10:49
461,16,1516186158,10:49
462,16,1516186159,10:49
463,14,1516186160,10:49
464,13,1516186161,10:49
465,14,1516186162,10:49
466,12,1516186163,10:49
467,11,1516186164,10:49
468,10,1516186165,10:49
469,11,1516186166,10:49
470,9,1516186167,10:49
471,10,1516186168,10:49
472,10,1516186169,10:49
473,11,1516186170,10:49
474,11,1516186171,10:49
475,11,1516186172,10:49
476,11,1516186173,10:49
477,12,1516186174,10:49
478,12,1516186175,10:49
479,12,1516186176,10:49
480,10,1516186177,10:49
481,9,1516186178,10:49
482,9,1516186179,10:49
483,9,1516186180,10:49
484,11,1516186181,10:49
485,10,1516186182,10:49
486,10,1516186183,10:49
487,12,1516186184,10:49
488,12,1516186185,10:49
489,13,1516186186,10:49
490,13,1516186187,10:49
491,11,1516186188,10:49
492,12,1516186189,10:49
493,11,1516186190,10:49
494,11,1516186191,10:49
495,11,1516186192,10:49
496,12,1516186193,10:49
497,12,1516186194,10:49
498,11,1516186195,10:49
499,10,1516186196,10:49
500,11,1516186197,10:49
501,11,1516186198,10:49
502,11,1516186199,10:49
503,12,1516186200,10:50
504,12,1516186201,10:50
505,14,1516186202,10:50
506,13,1516186203,10:50
507,13,1516186204,10:50
508,11,1516186205,10:50
509,12,1516186206,10:50
510,11,1516186207,10:50
511,11,1516186208,10:50
512,11,1516186209,10:50
513,9,1516186210,10:50
514,14,1516186211,10:50
515,12,1516186212,10:50
516,12,1516186213,10:50
517,12,1516186214,10:50
518,13,1516186215,10:50
519,12,1516186216,10:50
520,13,1516186217,10:50
521,15,1516186218,10:50
522,16,1516186219,10:50
523,16,1516186220,10:50
524,11,1516186221,10:50
525,11,1516186222,10:50
526,13,1516186223,10:50
527,13,1516186224,10:50
528,15,1516186225,10:50
529,15,1516186226,10:50
530,14,1516186227,10:50
531,12,1516186228,10:50
532,11,1516186229,10:50
533,10,1516186230,10:50
534,10,1516186231,10:50
535,10,1516186232,10:50
536,8,1516186233,10:50
537,8,1516186234,10:50
538,6,1516186235,10:50
539,5,1516186236,10:50
540,5,1516186237,10:50
541,5,1516186238,10:50
542,5,1516186239,10:50
543,5,1516186240,10:50
544,5,1516186241,10:50
545,5,1516186242,10:50
546,5,1516186243,10:50
547,5,1516186244,10:50
548,5,1516186245,10:50
549,5,1516186246,10:50
550,5,1516186247,10:50
551,5,1516186248,10:50
552,5,1516186249,10:50
553,5,1516186250,10:50
554,5,1516186251,10:50
555,6,1516186252,10:50
556,7,1516186253,10:50
557,7,1516186254,10:50
558,7,1516186255,10:50
559,7,1516186256,10:50
560,7,1516186257,10:50
561,7,1516186258,10:50
562,7,1516186259,10:50
563,11,1516186260,10:51
564,11,1516186261,10:51
565,11,1516186262,10:51
566,11,1516186263,10:51
567,11,1516186264,10:51
568,11,1516186265,10:51
569,11,1516186266,10:51
570,11,1516186267,10:51
571,11,1516186268,10:51
572,11,1516186269,10:51
573,7,1516186270,10:51
574,7,1516186271,10:51
575,6,1516186272,10:51
576,10,1516186273,10:51
577,11,1516186274,10:51
578,12,1516186275,10:51
579,12,1516186276,10:51
580,12,1516186277,10:51
581,12,1516186278,10:51
582,13,1516186279,10:51
583,13,1516186280,10:51
584,13,1516186281,10:51
585,13,1516186282,10:51
586,9,1516186283,10:51
587,8,1516186284,10:51
588,8,1516186285,10:51
589,8,1516186286,10:51
590,8,1516186287,10:51
591,8,1516186288,10:51
592,7,1516186289,10:51
593,8,1516186290,10:51
594,8,1516186291,10:51
595,10,1516186292,10:51
596,10,1516186293,10:51
597,10,1516186294,10:51
598,10,1516186295,10:51
599,11,1516186296,10:51
600,12,1516186297,10:51
601,12,1516186298,10:51
602,12,1516186299,10:51
603,11,1516186300,10:51
604,12,1516186301,10:51
605,10,1516186302,10:51
606,11,1516186303,10:51
607,11,1516186304,10:51
608,12,1516186305,10:51
609,14,1516186306,10:51
610,15,1516186307,10:51
611,15,1516186308,10:51
612,16,1516186309,10:51
613,16,1516186310,10:51
614,15,1516186311,10:51
615,15,1516186312,10:51
616,15,1516186313,10:51
617,17,1516186314,10:51
618,16,1516186315,10:51
619,13,1516186316,10:51
620,11,1516186317,10:51
621,11,1516186318,10:51
622,10,1516186319,10:51
623,10,1516186320,10:52
624,10,1516186321,10:52
625,11,1516186322,10:52
626,13,1516186323,10:52
627,11,1516186324,10:52
628,12,1516186325,10:52
629,12,1516186326,10:52
630,12,1516186327,10:52
631,13,1516186328,10:52
632,14,1516186329,10:52
633,14,1516186330,10:52
634,15,1516186331,10:52
635,16,1516186332,10:52
636,15,1516186333,10:52
637,16,1516186334,10:52
638,18,1516186335,10:52
639,17,1516186336,10:52
640,17,1516186337,10:52
641,15,1516186338,10:52
642,13,1516186339,10:52
643,14,1516186340,10:52
644,14,1516186341,10:52
645,13,1516186342,10:52
646,14,1516186343,10:52
647,14,1516186344,10:52
648,11,1516186345,10:52
649,11,1516186346,10:52
650,11,1516186347,10:52
651,12,1516186348,10:52
652,13,1516186349,10:52
653,13,1516186350,10:52
654,11,1516186351,10:52
655,11,1516186352,10:52
656,10,1516186353,10:52
657,7,1516186354,10:52
658,7,1516186355,10:52
659,7,1516186356,10:52
660,7,1516186357,10:52
661,6,1516186358,10:52
662,5,1516186359,10:52
663,5,1516186360,10:52
664,5,1516186361,10:52
665,4,1516186362,10:52
666,4,1516186363,10:52
667,4,1516186364,10:52
668,4,1516186365,10:52
669,5,1516186366,10:52
670,5,1516186367,10:52
671,6,1516186368,10:52
672,6,1516186369,10:52
673,6,1516186370,10:52
674,6,1516186371,10:52
675,6,1516186372,10:52
676,6,1516186373,10:52
677,6,1516186374,10:52
678,6,1516186375,10:52
679,5,1516186376,10:52
680,5,1516186377,10:52
681,4,1516186378,10:52
682,5,1516186379,10:52
683,5,1516186380,10:53
684,5,1516186381,10:53
685,9,1516186382,10:53
686,9,1516186383,10:53
687,9,1516186384,10:53
688,9,1516186385,10:53
689,9,1516186386,10:53
690,9,1516186387,10:53
691,9,1516186388,10:53
692,9,1516186389,10:53
693,10,1516186390,10:53
694,10,1516186391,10:53
695,7,1516186392,10:53
696,7,1516186393,10:53
697,7,1516186394,10:53
698,6,1516186395,10:53
699,7,1516186396,10:53
700,10,1516186397,10:53
701,10,1516186398,10:53
702,10,1516186399,10:53
703,9,1516186400,10:53
704,9,1516186401,10:53
705,9,1516186402,10:53
706,9,1516186403,10:53
707,9,1516186404,10:53
708,9,1516186405,10:53
709,7,1516186406,10:53
710,4,1516186407,10:53
711,4,1516186408,10:53
712,4,1516186409,10:53
713,4,1516186410,10:53
714,4,1516186411,10:53
715,4,1516186412,10:53
716,4,1516186413,10:53
717,4,1516186414,10:53
718,4,1516186415,10:53
719,4,1516186416,10:53
720,4,1516186417,10:53
721,4,1516186418,10:53
722,4,1516186419,10:53
723,4,1516186420,10:53
724,4,1516186421,10:53
725,4,1516186422,10:53
726,4,1516186423,10:53
727,4,1516186424,10:53
728,4,1516186425,10:53
729,4,1516186426,10:53
730,4,1516186427,10:53
731,4,1516186428,10:53
732,4,1516186429,10:53
733,4,1516186430,10:53
734,4,1516186431,10:53
735,4,1516186432,10:53
736,4,1516186433,10:53
737,4,1516186434,10:53
738,4,1516186435,10:53
739,4,1516186436,10:53
740,4,1516186437,10:53
741,4,1516186438,10:53
742,5,1516186439,10:53
743,5,1516186440,10:54
744,5,1516186441,10:54
745,5,1516186442,10:54
746,5,1516186443,10:54
747,5,1516186444,10:54
748,9,1516186445,10:54
749,9,1516186446,10:54
750,9,1516186447,10:54
751,9,1516186448,10:54
752,9,1516186449,10:54
753,9,1516186450,10:54
754,9,1516186451,10:54
755,9,1516186452,10:54
756,10,1516186453,10:54
757,10,1516186454,10:54
758,6,1516186455,10:54
759,6,1516186456,10:54
760,6,1516186457,10:54
761,6,1516186458,10:54
762,9,1516186459,10:54
763,9,1516186460,10:54
764,9,1516186461,10:54
765,9,1516186462,10:54
766,9,1516186463,10:54
767,9,1516186464,10:54
768,9,1516186465,10:54
769,10,1516186466,10:54
770,10,1516186467,10:54
771,10,1516186468,10:54
772,7,1516186469,10:54
773,7,1516186470,10:54
774,7,1516186471,10:54
775,7,1516186472,10:54
776,7,1516186473,10:54
777,7,1516186474,10:54
778,7,1516186475,10:54
779,7,1516186476,10:54
780,7,1516186477,10:54
781,7,1516186478,10:54
782,7,1516186479,10:54
783,7,1516186480,10:54
784,7,1516186481,10:54
785,7,1516186482,10:54
786,7,1516186483,10:54
787,8,1516186484,10:54
788,8,1516186485,10:54
789,10,1516186486,10:54
790,10,1516186487,10:54
791,10,1516186488,10:54
792,10,1516186489,10:54
793,10,1516186490,10:54
794,10,1516186491,10:54
795,10,1516186492,10:54
796,10,1516186493,10:54
797,9,1516186494,10:54
798,9,1516186495,10:54
799,9,1516186496,10:54
800,9,1516186497,10:54
801,9,1516186498,10:54
802,9,1516186499,10:54
803,9,1516186500,10:55
804,9,1516186501,10:55
805,9,1516186502,10:55
806,9,1516186503,10:55
807,9,1516186504,10:55
808,9,1516186505,10:55
809,9,1516186506,10:55
810,9,1516186507,10:55
811,9,1516186508,10:55
812,9,1516186509,10:55
813,10,1516186510,10:55
814,10,1516186511,10:55
815,10,1516186512,10:55
816,10,1516186513,10:55
817,10,1516186514,10:55
818,10,1516186515,10:55
819,10,1516186516,10:55
820,10,1516186517,10:55
821,10,1516186518,10:55
822,10,1516186519,10:55
823,10,1516186520,10:55
824,10,1516186521,10:55
825,10,1516186522,10:55
826,10,1516186523,10:55
827,10,1516186524,10:55
828,10,1516186525,10:55
829,10,1516186526,10:55
830,10,1516186527,10:55
831,10,1516186528,10:55
832,10,1516186529,10:55
833,10,1516186530,10:55
834,10,1516186531,10:55
835,10,1516186532,10:55
836,10,1516186533,10:55
837,10,1516186534,10:55
838,10,1516186535,10:55
839,11,1516186536,10:55
840,11,1516186537,10:55
841,11,1516186538,10:55
842,11,1516186539,10:55
843,11,1516186540,10:55
844,14,1516186541,10:55
845,14,1516186542,10:55
846,15,1516186543,10:55
847,15,1516186544,10:55
848,15,1516186545,10:55
849,15,1516186546,10:55
850,15,1516186547,10:55
851,15,1516186548,10:55
852,15,1516186549,10:55
853,15,1516186550,10:55
854,12,1516186551,10:55
855,12,1516186552,10:55
856,12,1516186553,10:55
857,12,1516186554,10:55
858,12,1516186555,10:55
859,11,1516186556,10:55
860,12,1516186557,10:55
861,12,1516186558,10:55
862,12,1516186559,10:55
863,12,1516186560,10:56
864,12,1516186561,10:56
865,12,1516186562,10:56
866,11,1516186563,10:56
867,11,1516186564,10:56
868,12,1516186565,10:56
869,12,1516186566,10:56
870,13,1516186567,10:56
871,13,1516186568,10:56
872,13,1516186569,10:56
873,13,1516186570,10:56
874,13,1516186571,10:56
875,14,1516186572,10:56
876,15,1516186573,10:56
877,15,1516186574,10:56
878,14,1516186575,10:56
879,14,1516186576,10:56
880,13,1516186577,10:56
881,14,1516186578,10:56
882,14,1516186579,10:56
883,14,1516186580,10:56
884,14,1516186581,10:56
885,14,1516186582,10:56
886,15,1516186583,10:56
887,15,1516186584,10:56
888,15,1516186585,10:56
889,15,1516186586,10:56
890,15,1516186587,10:56
891,12,1516186588,10:56
892,12,1516186589,10:56
893,12,1516186590,10:56
894,13,1516186591,10:56
895,13,1516186592,10:56
896,12,1516186593,10:56
897,11,1516186594,10:56
898,11,1516186595,10:56
899,11,1516186596,10:56
900,10,1516186597,10:56
901,11,1516186598,10:56
902,11,1516186599,10:56
903,11,1516186600,10:56
904,11,1516186601,10:56
905,11,1516186602,10:56
906,11,1516186603,10:56
907,12,1516186604,10:56
908,12,1516186605,10:56
909,12,1516186606,10:56
910,12,1516186607,10:56
911,11,1516186608,10:56
912,11,1516186609,10:56
913,11,1516186610,10:56
914,11,1516186611,10:56
915,11,1516186612,10:56
916,12,1516186613,10:56
917,11,1516186614,10:56
918,12,1516186615,10:56
919,12,1516186616,10:56
920,12,1516186617,10:56
921,13,1516186618,10:56
922,13,1516186619,10:56
923,14,1516186620,10:57
924,14,1516186621,10:57
925,14,1516186622,10:57
926,14,1516186623,10:57
927,14,1516186624,10:57
928,13,1516186625,10:57
929,13,1516186626,10:57
930,13,1516186627,10:57
931,13,1516186628,10:57
932,13,1516186629,10:57
933,13,1516186630,10:57
934,12,1516186631,10:57
935,12,1516186632,10:57
936,12,1516186633,10:57
937,12,1516186634,10:57
938,12,1516186635,10:57
939,12,1516186636,10:57
940,12,1516186637,10:57
941,12,1516186638,10:57
942,12,1516186639,10:57
943,12,1516186640,10:57
944,12,1516186641,10:57
945,11,1516186642,10:57
946,11,1516186643,10:57
947,11,1516186644,10:57
948,12,1516186645,10:57
949,12,1516186646,10:57
950,12,1516186647,10:57
951,12,1516186648,10:57
952,12,1516186649,10:57
953,12,1516186650,10:57
954,12,1516186651,10:57
955,12,1516186652,10:57
956,12,1516186653,10:57
957,12,1516186654,10:57
958,10,1516186655,10:57
959,10,1516186656,10:57
960,10,1516186657,10:57
961,10,1516186658,10:57
962,10,1516186659,10:57
963,9,1516186660,10:57
964,9,1516186661,10:57
965,9,1516186662,10:57
966,9,1516186663,10:57
967,9,1516186664,10:57
968,9,1516186665,10:57
969,9,1516186666,10:57
970,9,1516186667,10:57
971,9,1516186668,10:57
972,9,1516186669,10:57
973,9,1516186670,10:57
974,9,1516186671,10:57
975,9,1516186672,10:57
976,10,1516186673,10:57
977,9,1516186674,10:57
978,9,1516186675,10:57
979,9,1516186676,10:57
980,9,1516186677,10:57
981,9,1516186678,10:57
982,9,1516186679,10:57
983,9,1516186680,10:58
984,9,1516186681,10:58
985,9,1516186682,10:58
986,8,1516186683,10:58
987,8,1516186684,10:58
988,8,1516186685,10:58
989,8,1516186686,10:58
990,8,1516186687,10:58
991,8,1516186688,10:58
992,8,1516186689,10:58
993,8,1516186690,10:58
994,8,1516186691,10:58
995,8,1516186692,10:58
996,7,1516186693,10:58
997,7,1516186694,10:58
998,8,1516186695,10:58
999,8,1516186696,10:58
1000,8,1516186697,10:58
1001,8,1516186698,10:58
1002,8,1516186699,10:58
1003,8,1516186700,10:58
1004,8,1516186701,10:58
1005,8,1516186702,10:58
1006,8,1516186703,10:58
1007,8,1516186704,10:58
1008,7,1516186705,10:58
1009,8,1516186706,10:58
1010,8,1516186707,10:58
1011,8,1516186708,10:58
1012,9,1516186709,10:58
1013,9,1516186710,10:58
1014,9,1516186711,10:58
1015,9,1516186712,10:58
1016,9,1516186713,10:58
1017,9,1516186714,10:58
1018,9,1516186715,10:58
1019,8,1516186716,10:58
1020,8,1516186717,10:58
1021,8,1516186718,10:58
1022,8,1516186719,10:58
1023,8,1516186720,10:58
1024,8,1516186721,10:58
1025,8,1516186722,10:58
1026,8,1516186723,10:58
1027,8,1516186724,10:58
1028,8,1516186725,10:58
1029,8,1516186726,10:58
1030,8,1516186727,10:58
1031,8,1516186728,10:58
1032,8,1516186729,10:58
1033,8,1516186730,10:58
1034,8,1516186731,10:58
1035,7,1516186732,10:58
1036,7,1516186733,10:58
1037,7,1516186734,10:58
1038,7,1516186735,10:58
1039,7,1516186736,10:58
1040,7,1516186737,10:58
1041,7,1516186738,10:58
1042,8,1516186739,10:58
1043,8,1516186740,10:59
1044,8,1516186741,10:59
1045,8,1516186742,10:59
1046,8,1516186743,10:59
1047,8,1516186744,10:59
1048,9,1516186745,10:59
1049,9,1516186746,10:59
